Latitude,Longitude,Magnitude
31.66774561,-104.3803075,3.5
31.67164338,-104.3816876,3.7
34.4171667,-119.1323333,3.86
33.7323333,-117.4786667,3.62
36.851,-97.7935,4.5
33.3355,-116.9146667,4
38.142,-118.0052,3.9
35.0445,-118.9958333,3.51
31.65271041,-104.4638661,3.5
38.2571,-118.3528,4.3
26.6934,-110.9803,4.4
26.7675,-110.8671,5.3
33.4688333,-116.443,3.86
24.8507,-109.1013,4.3
24.7597,-109.3479,4.5
31.72165965,-104.5259366,3.9
31.67696635,-104.4113435,3.7
40.9622,-114.9424,3.7
24.7518,-109.1019,4.7
34.4365,-118.9911667,3.56
40.3846667,-124.8643333,4.58
37.3338333,-117.9023333,4.75
38.1677,-117.8238,4.2
41.094,-115.35,3.6
31.68726376,-104.4518179,3.6
31.65512786,-104.3008096,3.5
31.65191394,-104.3002459,3.5
31.65466829,-104.3008059,3.6
35.284,-119.3906667,3.92
